fov segment, laser convert, laser ds, map update, optimize, poseEstimate, processMeasurement, pub cloud, 
0.095914,1.10036,2.05589,0.201507,25.6595,29.7659,18.4137,0.021005,
0.091554,1.07286,3.1478,0.19769,24.7987,25.9525,34.3046,0.018538,
0.102045,1.00221,2.10903,0.213678,26.6707,25.1164,25.8227,0.02316,
0.113437,0.996089,2.05799,0.220856,34.1858,27.0081,34.4542,0.025815,
0.091707,1.12283,2.13046,0.196601,26.5453,34.4761,18.7758,0.021415,
0.111952,1.03937,2.10244,0.20965,26.8425,26.8702,35.5625,0.034064,
0.095423,1.01979,2.10451,0.208324,26.4022,27.1485,26.3244,0.018909,
0.095203,1.07773,2.151,0.197973,18.2947,26.6977,26.7617,0.030443,
0.202087,0.986767,2.04413,0.359553,17.4009,18.8599,35.3843,0.028396,
0.103392,1.37509,2.33335,0.228948,33.6825,17.7355,18.5658,0.019144,
0.111217,1.03791,2.09617,0.196606,34.7932,33.9928,30.4235,0.024387,
0.182821,1.0248,2.22602,0.300938,17.2455,35.2795,26.6016,0.04894,
0.104604,1.01163,2.09191,0.22649,26.2863,17.5786,25.7817,0.030415,
0.110993,1.00069,2.07885,0.22643,26.0637,26.6265,27.6602,0.080067,
0.101045,1.54977,2.95386,0.223786,26.335,26.3909,35.3069,0.021513,
0.103213,1.0251,2.10106,0.218757,25.55,26.6592,27.5401,0.019568,
